"","LTE-3+Euclidean distance","e5-large+Euclidean distance","LTE-3+AP","all-mpnet-base-v2+Euclidean distance","ADA-002+Euclidean distance","all-MiniLM-L12-v2+Euclidean distance","all-MiniLM-L6-v2+Euclidean distance","ADA-002+AP","LTE-3+K-means","ADA-002+K-means","nomic+Euclidean distance","all-roberta-large-v1+Euclidean distance","gtr-t5-large+Euclidean distance","e5large_v2+Euclidean distance","embed-english-v2.0+Euclidean distance","sapBERT+Euclidean distance","ClinicalBERT+Euclidean distance","BioGPT+Euclidean distance","LaBSE+Euclidean distance","Levenshtein","MedLlama_13B+Euclidean distance","Levenshtein+AP","Llama3.3_70B+Euclidean distance","Jaro Winkler","Jaro Winkler+AP","Cosine","DeepSeek_8B+Euclidean distance","Cosine+AP","PubMedBERT+Euclidean distance","sciBERT+Euclidean distance","LLama3.2_3B+Euclidean distance","BioBERT+Euclidean distance","LLama3.0+Euclidean distance","ModernBERT+Euclidean distance","Phi-4+Euclidean distance","MedLlama2+Euclidean distance"
"nomic+Euclidean distance",4.80170684649701e-07,8.69280887388028e-07,0.000153809666789165,2.444468996091e-05,0.000314633651336735,0.00160889809457122,0.00153703517158369,0.0187446073636564,0.044493533794218,0.147333870992017,NA,0.0571532864168339,0.00177857476839715,2.59070332127905e-05,1.35164671005712e-07,1.7468715919419e-18,4.21732061227101e-46,4.83955380320103e-39,1.17354839221922e-55,1.87219528053879e-57,8.00312755154249e-64,4.98419499850719e-66,1.52519282702836e-73,3.43892685870746e-76,3.37401712824354e-78,1.15352002414547e-85,4.66912310744444e-85,5.23051897142317e-88,6.27666405498433e-89,2.30650652159927e-92,2.03730462791601e-91,8.48239044681052e-94,4.1470014289539e-94,1.62544362390524e-95,3.7515993036188e-102,1.85948631340299e-106
"all-roberta-large-v1+Euclidean distance",5.73778700017466e-11,1.30760260092016e-10,7.20258671115014e-08,3.95008572898573e-10,1.40870058148992e-07,1.72577529580123e-06,2.90317965708625e-06,4.08935348458244e-05,0.000331332085803035,0.001428352985,0.0571532864168339,NA,0.432750598000383,0.0676238955487835,0.000168076060540691,4.4133008552671e-12,4.69091263920957e-29,3.70925383652188e-31,3.97379337367175e-46,1.72131458307355e-47,6.88545576755737e-60,4.75539549561251e-56,2.20431950669312e-66,7.1795149942946e-68,4.6365957931283e-71,5.44901474349603e-76,3.78779473446978e-77,5.42512950304738e-79,1.3670001147658e-80,2.88051310119688e-81,1.90729853903191e-83,2.43982339279052e-84,8.85391188113657e-86,1.89672144496774e-91,5.98766953705617e-95,2.43279227137545e-100
"gtr-t5-large+Euclidean distance",9.43055282885845e-14,1.729767758715e-13,7.73890892245722e-10,1.31046025446605e-10,9.09114411962982e-11,7.61159034200196e-10,2.83937502741301e-09,2.48948482679417e-07,7.09496241395588e-06,3.60497437795721e-05,0.00177857476839715,0.432750598000383,NA,0.246577864760804,0.00790796908319912,1.93036400227012e-09,4.82375327008452e-31,1.87161921046207e-27,5.12153782023177e-44,1.07662740447186e-47,3.00911935196086e-54,4.74911030899684e-56,1.52937720271384e-62,8.06920911790766e-66,7.93223816455115e-68,2.08651668733514e-76,3.12493312919399e-73,4.01472439119777e-79,1.17104738755807e-75,5.89275870605968e-80,8.28604475622888e-80,2.40818022992205e-80,5.9266369667151e-86,6.23320151503342e-84,3.08807282130434e-90,1.18394025418349e-96
"e5large_v2+Euclidean distance",8.23426677595753e-17,1.83553988908463e-16,1.96261180215975e-12,2.42368828578163e-14,6.12196757569712e-12,2.61092196103591e-11,1.85047295754805e-11,1.10312924603346e-08,9.36666637182166e-08,1.63169282764594e-06,2.59070332127905e-05,0.0676238955487835,0.246577864760804,NA,0.121252795123361,3.26107920154706e-07,1.72156489687095e-26,2.41765377321039e-24,1.50049565247869e-37,2.41189235780336e-40,1.32981207422202e-50,1.26830158660326e-48,5.445305813162e-58,1.31578612572075e-59,6.86698564965737e-62,4.8246155688455e-68,7.93005139645425e-67,2.27831495560752e-70,2.84181896893297e-72,1.36853694588633e-76,2.95422373099294e-73,2.56991855610688e-76,4.10449393864589e-78,2.95572583883886e-79,7.28679504468734e-86,1.24568979431011e-92
"embed-english-v2.0+Euclidean distance",2.4158967606421e-23,8.63105097944563e-19,3.31122939475086e-19,2.01552065032541e-17,2.84338034114356e-18,2.83069694623531e-14,2.34263160213516e-14,3.14841620489876e-14,3.07430076405037e-12,2.48368132510216e-11,1.35164671005712e-07,0.000168076060540691,0.00790796908319912,0.121252795123361,NA,0.000584656634311153,5.74714115381e-16,2.2030190941919e-17,6.6915842474982e-29,3.54321712598706e-34,7.46725332191488e-43,9.41666698674796e-42,5.7973904428514e-51,5.15458847929968e-55,7.43308406221539e-58,6.55349951313583e-64,1.83573136292378e-59,1.38868941597779e-66,8.39801549855931e-64,2.07066317629775e-66,1.50422541041406e-67,2.64080240991558e-69,2.94631055889495e-69,2.90245457836487e-77,3.63468490387847e-80,8.03381757122997e-85
"sapBERT+Euclidean distance",8.60181017561777e-39,2.29553964949905e-32,8.54899800228726e-33,2.78069787794691e-30,6.5101280459476e-30,1.42936444705883e-24,1.59982670037095e-24,2.88094499815184e-24,2.40859693062413e-24,1.11337476577591e-20,1.7468715919419e-18,4.4133008552671e-12,1.93036400227012e-09,3.26107920154706e-07,0.000584656634311153,NA,6.38885627933297e-07,1.15244640929866e-06,1.78453194921076e-16,1.08053624255647e-19,1.32407916952826e-27,2.40166942890572e-26,1.06645155403589e-35,2.00676213979054e-38,1.39869656942164e-40,8.48373218435098e-47,7.85915532787495e-45,2.46920740687723e-49,2.60699842213507e-50,1.64474527518188e-50,7.8195056009191e-52,6.69167789158355e-54,3.71405275688275e-55,8.75243922070718e-58,8.69570401784141e-65,1.12450153922915e-68
"ClinicalBERT+Euclidean distance",9.85057258449954e-60,4.31538263900065e-57,2.46480107149854e-52,3.23182943885182e-55,3.73742767446373e-51,4.61771234996627e-51,1.98519356412446e-54,5.04228437301828e-44,3.03743651695404e-43,4.30184902523891e-39,4.21732061227101e-46,4.69091263920957e-29,4.82375327008452e-31,1.72156489687095e-26,5.74714115381e-16,6.38885627933297e-07,NA,1,0.00279124876998517,4.01055925213319e-06,2.50228025691601e-10,7.85061331285867e-11,7.59445978083725e-17,4.12901639765222e-18,3.01998575447224e-20,1.04164128590756e-25,1.75899415753759e-24,5.741930715981e-28,2.80337275432954e-26,3.13037481176437e-32,5.30940576079551e-30,8.12560542521952e-32,5.58726570419121e-33,2.64570522552039e-35,4.47571837393131e-41,2.03711380346031e-47
"BioGPT+Euclidean distance",1.16688450926161e-59,1.76168391527613e-56,4.9764979306765e-53,2.93900834083631e-52,1.32878417708204e-52,4.65332984863278e-49,4.64487605996724e-50,6.72150141548619e-46,4.81723902776269e-43,3.56899316841401e-40,4.83955380320103e-39,3.70925383652188e-31,1.87161921046207e-27,2.41765377321039e-24,2.2030190941919e-17,1.15244640929866e-06,1,NA,0.00256417395797014,1.86372591354394e-06,2.78012048793912e-13,4.26369670436588e-11,1.88378876874121e-19,4.70480834091792e-20,2.83188279560647e-22,4.60012139607208e-23,1.89504947033641e-24,1.29300679969719e-25,6.92770767062773e-30,7.87961330027173e-32,7.13246305690103e-31,1.32179236078358e-32,9.38577040216551e-34,4.17629719908633e-40,5.211631463307e-42,1.49383243640189e-48
"LaBSE+Euclidean distance",3.12340421485678e-75,1.95634042486439e-71,3.74764748559152e-68,2.0511165577967e-67,5.43824238897783e-67,2.65992572408129e-63,1.11850022272542e-63,6.25941073073497e-59,2.50799568882398e-57,4.77327969273312e-54,1.17354839221922e-55,3.97379337367175e-46,5.12153782023177e-44,1.50049565247869e-37,6.6915842474982e-29,1.78453194921076e-16,0.00279124876998517,0.00256417395797014,NA,0.0891512391491499,0.000142573261456613,0.000261355095047275,1.17403148869651e-08,6.75440609257851e-11,1.63358424275671e-12,2.79354456534228e-17,1.20519711338832e-15,1.99761286009201e-19,1.71095178783078e-18,2.02630674663396e-20,1.92126023263591e-20,6.72008707071132e-22,5.82476687407753e-23,1.29726844476092e-26,7.08344133296796e-33,1.02609403570534e-38
"Levenshtein",1.02394493749518e-79,1.65713304015222e-71,2.74077421149557e-74,6.26928104346796e-70,3.48138283964898e-72,8.3583743536262e-67,5.33996434029826e-68,6.17233605691001e-65,1.62544801643061e-62,5.80197001549192e-59,1.87219528053879e-57,1.72131458307355e-47,1.07662740447186e-47,2.41189235780336e-40,3.54321712598706e-34,1.08053624255647e-19,4.01055925213319e-06,1.86372591354394e-06,0.0891512391491499,NA,0.039468380455071,1.99948706439047e-07,3.26830334330063e-05,2.75841777150587e-08,1.12219760760603e-09,6.64873070006256e-10,1.31046025446605e-10,8.09686646285706e-12,1.14918759031719e-11,4.47671978007454e-14,2.59717891954314e-15,1.08185902128095e-15,2.32294012357443e-17,3.50108142218896e-21,2.11708706981917e-26,3.82250446345906e-31
