"","all-MiniLM-L12-v2+Euclidean distance","e5-large+Euclidean distance","all-mpnet-base-v2+Euclidean distance","LTE-3+Euclidean distance","all-MiniLM-L6-v2+Euclidean distance","LTE-3+AP","LTE-3+K-means","ADA-002+Euclidean distance","ADA-002+AP","ADA-002+K-means","nomic+Euclidean distance","all-roberta-large-v1+Euclidean distance","e5large_v2+Euclidean distance","gtr-t5-large+Euclidean distance","embed-english-v2.0+Euclidean distance","sapBERT+Euclidean distance","BioGPT+Euclidean distance","ClinicalBERT+Euclidean distance","LaBSE+Euclidean distance","MedLlama_13B+Euclidean distance","Levenshtein","Levenshtein+AP","Llama3.3_70B+Euclidean distance","Jaro Winkler","Jaro Winkler+AP","Cosine","Cosine+AP","DeepSeek_8B+Euclidean distance","PubMedBERT+Euclidean distance","LLama3.2_3B+Euclidean distance","BioBERT+Euclidean distance","LLama3.0+Euclidean distance","sciBERT+Euclidean distance","ModernBERT+Euclidean distance","Phi-4+Euclidean distance","MedLlama2+Euclidean distance"
"nomic+Euclidean distance",2.18480567144335e-06,2.45261063786311e-06,3.2373761393752e-06,2.60963726425866e-05,0.000129001939505127,0.00106317316709045,0.00966681667186014,0.0266466267333219,0.0785422518627489,0.589463515535491,NA,0.1783048140753,0.0809639715584991,0.00193127897277275,6.687519348572e-06,3.2700701231584e-08,4.71033639129598e-36,1.89764642965006e-39,4.64287734478132e-49,3.15001066751356e-53,1.63655383665945e-60,6.79829809424054e-62,5.72118146883683e-67,2.90398427241273e-76,1.46184628310585e-76,8.73367606366887e-82,1.2191075141243e-81,1.90464762617549e-81,2.91574104097105e-83,7.0203060459878e-83,2.44216288547745e-87,3.05551780241857e-84,2.88908629243541e-89,5.84191845903085e-91,4.23322174280211e-99,5.69528455530758e-103
"all-roberta-large-v1+Euclidean distance",1.62645335001513e-08,1.32576186010232e-08,1.32230503793957e-09,9.60982397126851e-08,3.73308507227649e-06,6.73262135105364e-06,0.000213723971602004,0.00060292932635422,0.00250005035825312,0.0780638824974335,0.1783048140753,NA,0.813834868779729,0.188749672099684,0.00063418798942625,2.89394328206638e-05,1.19096159304134e-30,7.64811641719962e-29,9.47216519807198e-44,1.70208411127754e-50,1.77182052071636e-53,7.32223298921939e-55,6.48854395367117e-62,7.77124828984721e-73,7.99263217733581e-74,6.15770782861562e-77,8.48333891549543e-77,1.09530312399987e-74,1.91817326723966e-78,4.26804102613574e-78,4.47113262638447e-81,1.78572530948099e-80,5.9876321432613e-82,1.59435642582148e-89,3.71752035131074e-95,2.75306903241865e-98
"e5large_v2+Euclidean distance",1.27661153774643e-09,7.86242152529419e-10,3.3747838570094e-09,1.29037313927911e-08,3.89723030787047e-07,2.0524903067707e-06,8.75625279948756e-05,0.000396407309990498,0.0019197324350576,0.0529224987349003,0.0809639715584991,0.813834868779729,NA,0.29127681613463,0.00585870499131972,0.000183676711735282,1.39475268251697e-28,1.69656083313035e-29,2.5604490369453e-40,2.24961407128454e-47,1.0279676898747e-52,1.17735061465742e-54,2.84999968572614e-60,1.86632213052303e-68,4.37675526899855e-69,8.21937255633148e-73,1.06280238521408e-72,2.58182668097336e-73,1.09016366638117e-76,1.05198085014914e-76,4.51211460517708e-81,2.07119168581996e-79,1.92409032666475e-84,2.86985649113347e-83,3.1950736859352e-92,9.58006682764421e-99
"gtr-t5-large+Euclidean distance",3.58214379846231e-14,1.02100987426786e-13,5.32083171212305e-13,2.00954853968401e-12,6.65918574100916e-11,1.76926866012433e-09,3.09826785510861e-07,3.44121334533745e-07,5.49953915106566e-06,0.00118131217422332,0.00193127897277275,0.188749672099684,0.29127681613463,NA,0.0495662157809202,0.00427609312783943,3.60899730262098e-24,1.26306399271831e-26,8.69006543276136e-38,7.59385847459141e-45,3.00810949791809e-52,3.04964535893531e-54,4.25047060194469e-58,4.77455052739689e-69,5.39118631931763e-69,3.46537354502889e-73,4.84299144138787e-73,6.90744835796194e-71,5.82447508773996e-72,2.50974808298672e-73,1.37789687671097e-75,1.1237319063584e-75,3.76104600439912e-77,1.41356588662212e-80,3.25095610671219e-89,1.08666388822073e-94
"embed-english-v2.0+Euclidean distance",1.3811814714512e-15,5.36389289605778e-16,1.64131184315178e-16,4.28214819149341e-18,1.15251328024756e-13,2.99731941899268e-15,2.12925838922354e-12,2.18771802992183e-11,2.9776796277552e-10,4.72267703232975e-07,6.687519348572e-06,0.00063418798942625,0.00585870499131972,0.0495662157809202,NA,0.35616473932998,1.54080607278522e-16,1.67675643910532e-16,1.58290859792396e-26,1.01043262109623e-35,1.1742017782311e-40,2.80034316016452e-42,2.98104007030565e-49,3.97792643643028e-59,2.11564887895729e-60,1.67384865568872e-64,1.02428683534966e-64,5.31956542805976e-64,4.63328948234062e-65,8.40698775407715e-66,4.88977479928631e-69,6.063460694704e-66,5.99987070436898e-70,9.52174497857661e-75,1.12688876038993e-82,1.06890604871281e-86
"sapBERT+Euclidean distance",2.72063775975662e-17,3.46291491690643e-18,5.19283768030568e-18,2.58824582611351e-22,7.94459729280038e-15,4.19356738358531e-19,9.38207447639587e-16,5.19687941163352e-13,8.5067206935032e-12,1.78639870878843e-08,3.2700701231584e-08,2.89394328206638e-05,0.000183676711735282,0.00427609312783943,0.35616473932998,NA,6.587150595502e-12,3.17459011471686e-13,4.60024744449275e-22,1.51418931541649e-30,2.08706666689205e-33,9.43844096531434e-35,6.10267364336974e-45,5.27154906390593e-54,4.7441619955782e-54,1.56889764746705e-60,3.97792643643028e-59,8.5418896296222e-56,2.6419706112107e-59,1.09059196857345e-58,3.03240400652501e-62,2.36513487588081e-60,5.17138876327943e-66,4.53416161002192e-67,7.84979211601463e-75,1.66782532149153e-80
"BioGPT+Euclidean distance",9.78554357452627e-50,2.11022004705686e-51,1.79933105459683e-49,7.60054384439182e-51,1.26884207813195e-47,2.62232990522913e-46,5.37771048610514e-42,6.90617469725059e-43,1.60307686193252e-40,4.27582902036517e-33,4.71033639129598e-36,1.19096159304134e-30,1.39475268251697e-28,3.60899730262098e-24,1.54080607278522e-16,6.587150595502e-12,NA,1,0.014928044792537,1.72545471833675e-08,2.98477368234221e-10,2.45153292025972e-11,7.05636986947134e-18,1.75028086602929e-24,3.07019036752555e-25,1.70046708755419e-24,2.2138678783971e-24,2.36831528767883e-28,6.94161931766572e-30,1.19096159304134e-30,4.64305910888706e-33,8.04662167777764e-33,7.46997922386259e-35,6.31234934971916e-40,1.71678647089103e-45,2.21374481185695e-51
"ClinicalBERT+Euclidean distance",1.74351689225018e-51,1.5645579245532e-49,1.86443711302756e-50,6.97854511886203e-52,1.33616878741652e-48,1.62051486432837e-47,1.2470959409681e-42,1.31679678523524e-40,3.31834193772636e-38,1.3038800580673e-32,1.89764642965006e-39,7.64811641719962e-29,1.69656083313035e-29,1.26306399271831e-26,1.67675643910532e-16,3.17459011471686e-13,1,NA,0.0152075244078215,1.35743426266833e-06,7.90374128134825e-10,4.12020148404552e-11,3.86727568331563e-16,6.12446977246821e-23,1.71347657120677e-23,5.45468098190655e-29,9.19919323349313e-29,8.42315267974434e-28,3.44540808426404e-26,3.70324393949753e-29,3.13987617938164e-31,1.69066207986422e-30,5.16470482517824e-37,3.64480057669799e-35,1.04256541412524e-43,3.59894144113563e-51
"LaBSE+Euclidean distance",1.29359473588976e-61,1.69441154899009e-61,9.96927254953593e-63,7.64994211581135e-65,1.62680331508592e-57,1.17160809508295e-59,2.63344516346157e-54,6.37496314531019e-53,2.40464053890144e-50,2.19460119130826e-43,4.64287734478132e-49,9.47216519807198e-44,2.5604490369453e-40,8.69006543276136e-38,1.58290859792396e-26,4.60024744449275e-22,0.014928044792537,0.0152075244078215,NA,0.00644491827344081,0.000113069595062485,2.01611309412706e-05,1.26359715398308e-09,7.54818418098675e-16,4.11257626069975e-16,2.34171190549872e-21,7.86598213134773e-21,1.40946240845877e-19,8.8263550240849e-21,6.28021518870203e-22,1.67041526570759e-24,3.14149984655196e-23,4.89750076579505e-26,3.83226840153683e-29,1.7889391886157e-37,3.1241298838498e-43
"MedLlama_13B+Euclidean distance",3.70547538462014e-69,1.43550126421424e-70,1.26913213519582e-69,4.88829682062977e-74,8.73032775022724e-65,8.81852806687592e-69,7.08254082294634e-64,1.0614745256621e-63,1.58038897820401e-61,3.05506010542592e-54,3.15001066751356e-53,1.70208411127754e-50,2.24961407128454e-47,7.59385847459141e-45,1.01043262109623e-35,1.51418931541649e-30,1.72545471833675e-08,1.35743426266833e-06,0.00644491827344081,NA,0.281076813937998,0.110601556178583,0.000199684291369172,4.1766962400712e-09,9.82741776820134e-10,4.87171168985184e-10,4.88745932278511e-10,2.45748735134655e-10,1.03218514412763e-11,1.41552885465399e-12,3.34474538593564e-15,1.86622092342058e-14,6.63448902484809e-16,2.63930273611966e-20,3.36336269535902e-26,5.55214801257865e-31
